ZIP,YEAR,ORDINAL,INCOME GROUP,HOUSEHOLDS
91901,2010,1,"Less than $15,000",469
91901,2010,2,"$15,000 to $29,999",794
91901,2010,3,"$30,000 to $44,999",749
91901,2010,4,"$45,000 to $59,999",541
91901,2010,5,"$60,000 to $74,999",603
91901,2010,6,"$75,000 to $99,999",801
91901,2010,7,"$100,000 to $124,999",622
91901,2010,8,"$125,000 to $149,999",411
91901,2010,9,"$150,000 to $199,999",743
91901,2010,10,"$200,000 or more",480
91901,2011,1,"Less than $15,000",479
91901,2011,2,"$15,000 to $29,999",792
91901,2011,3,"$30,000 to $44,999",757
91901,2011,4,"$45,000 to $59,999",540
91901,2011,5,"$60,000 to $74,999",595
91901,2011,6,"$75,000 to $99,999",779
91901,2011,7,"$100,000 to $124,999",625
91901,2011,8,"$125,000 to $149,999",395
91901,2011,9,"$150,000 to $199,999",763
91901,2011,10,"$200,000 or more",497
91901,2012,1,"Less than $15,000",500
91901,2012,2,"$15,000 to $29,999",904
91901,2012,3,"$30,000 to $44,999",829
91901,2012,4,"$45,000 to $59,999",622
91901,2012,5,"$60,000 to $74,999",541
91901,2012,6,"$75,000 to $99,999",815
91901,2012,7,"$100,000 to $124,999",528
91901,2012,8,"$125,000 to $149,999",437
91901,2012,9,"$150,000 to $199,999",563
91901,2012,10,"$200,000 or more",495
91901,2013,1,"Less than $15,000",450
91901,2013,2,"$15,000 to $29,999",891
91901,2013,3,"$30,000 to $44,999",841
91901,2013,4,"$45,000 to $59,999",565
91901,2013,5,"$60,000 to $74,999",575
91901,2013,6,"$75,000 to $99,999",723
91901,2013,7,"$100,000 to $124,999",518
91901,2013,8,"$125,000 to $149,999",466
91901,2013,9,"$150,000 to $199,999",650
91901,2013,10,"$200,000 or more",582
91901,2014,1,"Less than $15,000",451
91901,2014,2,"$15,000 to $29,999",824
91901,2014,3,"$30,000 to $44,999",912
91901,2014,4,"$45,000 to $59,999",512
91901,2014,5,"$60,000 to $74,999",523
91901,2014,6,"$75,000 to $99,999",722
91901,2014,7,"$100,000 to $124,999",679
91901,2014,8,"$125,000 to $149,999",463
91901,2014,9,"$150,000 to $199,999",554
91901,2014,10,"$200,000 or more",623
91901,2015,1,"Less than $15,000",495
91901,2015,2,"$15,000 to $29,999",789
91901,2015,3,"$30,000 to $44,999",729
91901,2015,4,"$45,000 to $59,999",503
91901,2015,5,"$60,000 to $74,999",539
91901,2015,6,"$75,000 to $99,999",798
91901,2015,7,"$100,000 to $124,999",829
91901,2015,8,"$125,000 to $149,999",500
91901,2015,9,"$150,000 to $199,999",525
91901,2015,10,"$200,000 or more",566
91901,2016,1,"Less than $15,000",506
91901,2016,2,"$15,000 to $29,999",659
91901,2016,3,"$30,000 to $44,999",776
91901,2016,4,"$45,000 to $59,999",606
91901,2016,5,"$60,000 to $74,999",539
91901,2016,6,"$75,000 to $99,999",895
91901,2016,7,"$100,000 to $124,999",833
91901,2016,8,"$125,000 to $149,999",503
91901,2016,9,"$150,000 to $199,999",496
91901,2016,10,"$200,000 or more",490
91901,2017,1,"Less than $15,000",516
91901,2017,2,"$15,000 to $29,999",571
91901,2017,3,"$30,000 to $44,999",844
91901,2017,4,"$45,000 to $59,999",576
91901,2017,5,"$60,000 to $74,999",553
91901,2017,6,"$75,000 to $99,999",860
91901,2017,7,"$100,000 to $124,999",877
91901,2017,8,"$125,000 to $149,999",538
91901,2017,9,"$150,000 to $199,999",560
91901,2017,10,"$200,000 or more",398
91901,2018,1,"Less than $15,000",403
91901,2018,2,"$15,000 to $29,999",626
91901,2018,3,"$30,000 to $44,999",816
91901,2018,4,"$45,000 to $59,999",541
91901,2018,5,"$60,000 to $74,999",493
91901,2018,6,"$75,000 to $99,999",863
91901,2018,7,"$100,000 to $124,999",923
91901,2018,8,"$125,000 to $149,999",543
91901,2018,9,"$150,000 to $199,999",583
91901,2018,10,"$200,000 or more",501
91901,2019,1,"Less than $15,000",410
91901,2019,2,"$15,000 to $29,999",630
91901,2019,3,"$30,000 to $44,999",801
91901,2019,4,"$45,000 to $59,999",518
91901,2019,5,"$60,000 to $74,999",497
91901,2019,6,"$75,000 to $99,999",953
91901,2019,7,"$100,000 to $124,999",802
91901,2019,8,"$125,000 to $149,999",499
91901,2019,9,"$150,000 to $199,999",580
91901,2019,10,"$200,000 or more",618
91902,2010,1,"Less than $15,000",320
91902,2010,2,"$15,000 to $29,999",538
91902,2010,3,"$30,000 to $44,999",535
91902,2010,4,"$45,000 to $59,999",850
91902,2010,5,"$60,000 to $74,999",751
91902,2010,6,"$75,000 to $99,999",923
91902,2010,7,"$100,000 to $124,999",691
91902,2010,8,"$125,000 to $149,999",281
91902,2010,9,"$150,000 to $199,999",405
91902,2010,10,"$200,000 or more",451
91902,2011,1,"Less than $15,000",335
91902,2011,2,"$15,000 to $29,999",541
91902,2011,3,"$30,000 to $44,999",532
91902,2011,4,"$45,000 to $59,999",836
